NetworkInterfaceId,SubnetId,Description,Status,PrivateIpAddress,Groups
eni-0b6ac5d3e883a3b36,subnet-0962fbb6ad149af88,,in-use,10.56.1.6,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-06028646ae57b74b9,subnet-0962fbb6ad149af88,aws-K8S-i-05dbec902706cb9cb,in-use,10.56.1.174,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-050f066cdc039aa28,subnet-07a149dae81cbce50,Network Interface for Transit Gateway Attachment tgw-attach-04c8009e393a57ed6,in-use,10.61.202.221,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-05817c2dd40355efb,subnet-0962fbb6ad149af88,VPC Endpoint Interface vpce-06f39639b854daa36,in-use,10.56.0.15,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-02838afcbbaa453ba,subnet-0962fbb6ad149af88,aws-K8S-i-01b0f19ecfbe43117,in-use,10.56.5.72,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-057c212b184ec5920,subnet-0812e3a686eb75206,ELB a31444c1c2c1c48f18976ca6098c2be4,in-use,10.56.24.44,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0b5359279a2b2eb8a,subnet-0962fbb6ad149af88,Amazon EKS eks-gd-np-re-blue,in-use,10.56.4.30,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-08aa2b4c4fc96d700,subnet-0962fbb6ad149af88,,in-use,10.56.3.182,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0cb95faf2f8a28959,subnet-0962fbb6ad149af88,VPC Endpoint Interface vpce-0e01374f5d29db5af,in-use,10.56.7.204,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-09b2e83adad6bdc8c,subnet-0962fbb6ad149af88,aws-K8S-i-0ac8a31cf609a144a,in-use,10.56.0.159,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0c21d12b31e153ca4,subnet-0812e3a686eb75206,RDSNetworkInterface,in-use,10.56.25.102,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-038724c6f68a2482d,subnet-0812e3a686eb75206,ELB acb87a9703a624484862d672ab23b5c0,in-use,10.56.25.239,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-04cd3023789d0ca7e,subnet-0962fbb6ad149af88,VPC Endpoint Interface vpce-0c8a0d523491b417e,in-use,10.56.3.88,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0df3e8314bdafe05d,subnet-0812e3a686eb75206,RDSNetworkInterface,in-use,10.56.25.52,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0ab2d3d6230d3a80f,subnet-0962fbb6ad149af88,VPC Endpoint Interface vpce-02b4f6b86161acdd9,in-use,10.56.2.119,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-007cef271e9466055,subnet-0962fbb6ad149af88,Primary network interface,in-use,10.56.7.232,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0bcdee9a6b17624ee,subnet-0812e3a686eb75206,ELB ad7ce4cd6b21f44ce91b2f8d3bb65fbd,in-use,10.56.25.79,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0c8c9a872ee858fde,subnet-0962fbb6ad149af88,VPC Endpoint Interface vpce-0a7385fc8001a7c87,in-use,10.56.7.2,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-09450216334512b60,subnet-0962fbb6ad149af88,VPC Endpoint Interface vpce-0049143a079a6adcc,in-use,10.56.2.123,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-093f470b51a40f5f1,subnet-0513acea1c1c4d1f9,VPC Endpoint Interface vpce-038473e1ee6d5239e,in-use,10.61.163.82,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0f54ac35f30a8ca65,subnet-0513acea1c1c4d1f9,Primary network interface,in-use,10.61.168.128,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-02f5941936c9e9d6f,subnet-0513acea1c1c4d1f9,Network Interface for Transit Gateway Attachment tgw-attach-05ec95ccbe0fca8a4,in-use,10.61.166.155,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-03e9ee573c0ac8df9,subnet-0db1213247397d5cd,ELB app/env-251070-appelb/dbd641ef5c3df93f,in-use,10.61.158.86,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-02620b955b8efddf9,subnet-0db1213247397d5cd,ELB app/env-252442-appelb/805163f38d35a847,in-use,10.61.148.246,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0e16cdcb36adc07c1,subnet-0db1213247397d5cd,Primary network interface,in-use,10.61.147.24,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0c39cbc97d034e184,subnet-0db1213247397d5cd,RDSNetworkInterface,in-use,10.61.144.206,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0a24e9a724dad7420,subnet-0db1213247397d5cd,,in-use,10.61.157.57,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-05c39384dee8a817b,subnet-0db1213247397d5cd,RDSNetworkInterface,in-use,10.61.147.226,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-022972a001b04e4ce,subnet-0db1213247397d5cd,RDSNetworkInterface,in-use,10.61.155.148,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0844699825a4228a8,subnet-0db1213247397d5cd,EFS mount target for fs-cb9091cc (fsmt-534e4256),in-use,10.61.158.138,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0d4446d5834885acf,subnet-0db1213247397d5cd,ELB env-252738-elb-rdp,in-use,10.61.158.161,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-096403eec011e0d8c,subnet-0db1213247397d5cd,Network Interface for Transit Gateway Attachment tgw-attach-05ec95ccbe0fca8a4,in-use,10.61.148.108,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0f7cca0aa70fc7ef1,subnet-0db1213247397d5cd,ELB app/env-252580-appelb/9f2236fe6b6cb204,in-use,10.61.157.87,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0ebee26143812113e,subnet-0db1213247397d5cd,EFS mount target for fs-dfc4c4d8 (fsmt-22454a27),in-use,10.61.151.184,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0dc1a031a104c194b,subnet-0db1213247397d5cd,ELB app/env-252738-appelb/1db4bbc43d790846,in-use,10.61.158.148,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-07b7352461cf20e64,subnet-0db1213247397d5cd,RDSNetworkInterface,in-use,10.61.156.250,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-065e27dc2b840b953,subnet-0db1213247397d5cd,VPC Endpoint Interface vpce-038473e1ee6d5239e,in-use,10.61.147.244,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-02a5829195ab421e7,subnet-0db1213247397d5cd,ELB app/env-265045-appelb/ed67faad8e124533,in-use,10.61.159.120,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0b7046b9a7166a2d7,subnet-0db1213247397d5cd,,in-use,10.61.157.115,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0ad3eb1203bcc8eaa,subnet-0db1213247397d5cd,ELB app/env-247760-appelb/84dd00037fe9646f,in-use,10.61.149.139,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-073583f0648d81ed1,subnet-0db1213247397d5cd,EFS mount target for fs-27d7d620 (fsmt-1feee31a),in-use,10.61.145.44,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
eni-0a14a7869865976af,subnet-0db1213247397d5cd,ELB app/env-251585-appelb/25fd31f8478f7dda,in-use,10.61.151.52,System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]
