"NetworkInterfaceId","SubnetId","Description","Status","PrivateIpAddress","Groups"
"eni-092c42b9c8c6198c5","subnet-048b8fd14c2a33d17",,"in-use","10.61.96.179","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0feb68fd8b16604c8","subnet-066920845e6887ae5","Primary network interface","in-use","10.61.121.239","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0132bf0054f9f11c6","subnet-066920845e6887ae5","ElastiCache stg-rep-group-1-001","in-use","10.61.120.5","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0f7f97b6a561c102c","subnet-048b8fd14c2a33d17",,"in-use","10.61.102.33","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0f9b832d9ee81e0e6","subnet-048b8fd14c2a33d17",,"in-use","10.61.98.214","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-05af3967607418624","subnet-048b8fd14c2a33d17","aws-K8S-i-00ff8bcdcc402882f","in-use","10.61.96.107","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-07013ed2829268717","subnet-078ddef3182bca345",,"in-use","10.61.115.251","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-023dff2cfc422c249","subnet-078ddef3182bca345","aws-K8S-i-07b1e288bcc2ceae8","in-use","10.61.112.89","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-085c1c8d9230ed6f5","subnet-078ddef3182bca345","aws-K8S-i-0528b94b4bbf37ba5","in-use","10.61.113.170","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
"eni-0f779cb3207641f6d","subnet-078ddef3182bca345","aws-K8S-i-0267db1e4f51395c7","in-use","10.61.116.63","System.Collections.Generic.List`1[Amazon.EC2.Model.GroupIdentifier]"
